id,vtype,domain,n,title,xtitle,ytitle,y1,y2,trunc1,truncrem,dualline,dual2
BW2,B,W,2,Summer High and Low Temperatures for Lakeview,Month,Temperature (ÂºF),0,100,50,0,,
BW3,B,W,3,Max Wind Speed by City,City,Wind Speed (mph),0,80,50,0,,
BW4,B,W,4,Average Springton Snowfall by Neighborhood,Neighborhood,Snowfall (inches),0,60,25,0,,
BW5,B,W,5,Storm Days by City,City,Storm Days,0,50,25,0,,
LD1,L,D,1,Monthly Flu Cases in Riverton,Month,Flu Cases,0,200,,,2022-2023,300
LD2,L,D,2,Springdale and Hillsborough Measles Outbreak Cases,Week,Measles Cases,0,125,,,Hillsborough,25
LD3,L,D,3,Reinfection Rates for Flu by Vaccination Status in Lakeview,Year,Flu Reinfection Rate,0,40,,,Vaccinated,15
LD4,L,D,4,Lyme Disease Cases in Washington County,Year,Lyme Disease Cases,0,500,,,Urban,120
LD5,L,D,5,Respiratory Illness Hospitalization at Mapleton Clinic,Year,Reported Hospitalizations,0,80,,,Summer,50
LE1,L,E,1,Voter Turnout in Washington County,Year,Voter Turnout (%),0,100,,,Mayoral,70
LE2,L,E,2,Mayor Wilson Approval Rating (2023 vs. 2024),Month,Approval Rating (%),0,100,,,2023,60
LE3,L,E,3,Early Votes in Washington and Lincoln Counties,Week,Early Votes,0,2000,,,County 1,900
LE4,L,E,4,Net Mayoral Fundraising by Wilson vs. Taylor,Month,Net Amount (thousands),0,250,,,Mark Taylor,200
LE5,L,E,5,Number of Registered Voters by Age Group in Springview,Year,Registered Voters,0,3000,,,18-24,2000
LH1,L,H,1,Average Resting and Active Heart Rates for Patient A,Day,Heart Rate (bpm),0,125,,,Resting,95
LH2,L,H,2,Average Blood Sugar in November for Patients A and B,Day,Blood Sugar (mg/dL),0,200,,,Patient B,150
LH3,L,H,3,Sleep Duration for Students with and without Sleeping Pills,Month,Average Hours Slept,0,10,,,No Sleeping Pill,8
LH4,L,H,4,Weight Tracking Clinical Study,Week,Weight (lbs),0,200,,,Diet,300
LH5,L,H,5,PT Recovery with or without Surgery Intervention,Weeks after Injury,Recovery (% normal function),0,100,,,Without Surgery,87
LS1,L,S,1,Spring Hashtag Usage,Date,Hashtag Uses,0,400000,,,#SpringFun,40000
LS2,L,S,2,Follower Counts for @MiaTechGuru,Month,Followers,0,400000,,,Twitch,70000
LS3,L,S,3,Ad Engagement over Time,Week,Engagement Rate (%),0,60,,,Business 1,50
LS4,L,S,4,View Counts for Top Three Viral Videos,Day,Total Views,0,500000000,,,Video A,300000000
LS5,L,S,5,Live Stream Viewers by Stream Duration,Hours,Current Viewers,0,6000,,,News,2100
LW1,L,W,1,Monthly Summer Temperatures in Riverton,Month,Temperature (ÂºF),0,100,,,2024,120
LW2,L,W,2,Maximum Wind Speeds for Springdale vs. Lakeview,Year,Wind Speed (mph),0,80,,,Springdale,70
LW3,L,W,3,Average Rainfall per Year,Year,Rainfall (inches),0,100,,,Springtown,60
LW4,L,W,4,"Morning, Afternoon, and Evening Temperature in Lakeview",Month,Temperature (ÂºF),0,100,,,6:00 AM,90
LW5,L,W,5,Springdale Air Quality by Zone,Day,Air Quality Index (AQI),0,100,,,Industrial Zones,125
BL1,B,L,1,Leaf Size for different Plant Species,Species,Leaf Size (cm^2),0,150,90,1,,
BL2,B,L,2,Average Offspring per Reproductive Cycle,Organism Type,Average Offspring,0,300,50,1,,
BL3,B,L,3,Lung Capacity by Age Group,Age Group,Lung Capacity (L),0,5,1.5,0,,
BL4,B,L,4,Protein Content per Serving,Ingredient,Nutrient Content (g),0,6,1,0,,
BL5,B,L,5,Time spent in Mitosis Phases,Time (minutes),Phase,0,20,4.5,0,,
BP1,B,P,1,Sound Speed by Medium,Medium,Speed (m/s),0,6000,1000,1,,
BP2,B,P,2,Weight of a 10kg Object on Different Planets,Planet,Weight (N),0,100,15,0,,
BP3,B,P,3,Frictional Force by Surface Material,Material,Frictional Force (N),0,5,3,1,,
BP4,B,P,4,Energy Use by Appliance,Appliance,Energy Use (kWh),0,3,1,2,,
BP5,B,P,5,Momentum in Different Collision Types,Collision Type,Momentum (kg*m/s),0,110,80,0,,
BC1,B,C,1,Atomic Radius in Period 2,Element,Atomic Radius (pm),0,170,40,1,,
BC2,B,C,2,Valence Electrons by Group,Group,# Valence Electrons,0,10,3,2,,
BC3,B,C,3,Flame Test Wavelengths,Metal Ion,Wavelength (nm),0,800,400,0,,
BC4,B,C,4,Density of Common Liquids,Liquid,Density (g/cm^3),0,1,0.5,0,,
BC5,B,C,5,Hydrogen Gas by Metal,Metal,Hydrogen Gas (mL),0,125,90,0,,
BF1,B,F,1,Person A Spending for January 2025,Category,Spending ($),0,500,150,1,,
BF2,B,F,2,2024 401(k) Contributions by Source for Person A,Source,Contributions,0,7500,3000,0,,
BF3,B,F,3,Person A Savings by Goal,Goal,Amount ($),0,11000,3500,2,,
BF4,B,F,4,Person A Investment Portfolio,Asset Type,Value Allocation (%),0,55,10,1,,
BF5,B,F,5,Person A Bank Fees and Interest by Account,Account,Amount ($),0,125,40,0,,
BB1,B,B,1,Sales by Product Category,Category,Sales ($),0,550000,250000,0,,
BB2,B,B,2,Budget Allocation by Department,Department,Budget ($),0,1300000,0.4,0,,
BB3,B,B,3,Actual Sales vs. Quota,Sales Representative,Amount ($),0,120000,80000,0,,
BB4,B,B,4,Customer Satisfaction by Region,Region,Satisfaction (1-5),0,5,3,0,,
BB5,B,B,5,Return on Investment (ROI) by Marketing Campaign,Campaign,ROI (%),0,280,100,0,,
LL1,L,L,1,Population Growth of Species A and Species B,Week,Population,0,250,,,0,250
LL2,L,L,2,Heart Rate Recovery,Minutes,Heart Rate (bpm),0,150,,,0,150
LL3,L,L,3,Photosynthesis by Light Intensity,Light Intensity (lux),Photosynthesis Rate,0,25,,,0,25
LL4,L,L,4,Enzyme Activity by Temperature,Temperature (¼C),Activity,0,75,,,0,75
LL5,L,L,5,Body Temperature over Time,Hours,Temperature (¼C),0,50,,,0,50
LP1,L,P,1,Runner Distance by Time,Time (s),Distance (m),0,25,,,0,25
LP2,L,P,2,Velocity in Freefall in a Vacuum,Seconds,Velocity (m/s),0,100,,,0,100
LP3,L,P,3,Cooling over Time for Metal vs. Water,Minutes,Temperature (¼C),0,110,,,0,110
LP4,L,P,4,Hooke's Law,Extension (cm),Force (N),0,60,,,0,60
LP5,L,P,5,Energy in a Pendulum,Seconds,Energy (J),0,60,,,0,60
LC1,L,C,1,Reaction Rate vs. Temperature,Temperature (¼C),Reaction Rate,0,10,,,0,10
LC2,L,C,2,Titration PH Curves,Minutes,pH,0,15,,,0,15
LC3,L,C,3,Solubility vs. Temperature for Different Molecules,Temperature (¼C),Solubility (g/100g water),0,125,,,0,125
LC4,L,C,4,Conductivity over Time,Minutes,Conductivity (mS/cm),0,15,,,0,15
LC5,L,C,5,Energy Profile of Reactions,Reaction Coordinate,Reaction Energy Profile (kJ/mol),0,75,,,0,75
LF1,L,F,1,Person A Net Worth over Time,Month,Value ($),0,150000,,,0,150000
LF2,L,F,2,Person A Spending vs. Budget,Month,Amount ($),0,4000,,,0,4000
LF3,L,F,3,401(k) Growth vs. Target,Month,Amount ($),0,80000,,,0,80000
LF4,L,F,4,Value of Person A's Stock Portfolio,Date,Value ($),0,200,,,0,200
LF5,L,F,5,Person A's Bank Account Balances,Month,Value ($),0,15000,,,0,15000
LB1,L,B,1,Revenue Growth for Company A over Time,Quarter,Revenue ($),0,90000000,,,0,90000000
LB2,L,B,2,Inventory Levels over Time,Month,Quantity,0,400,,,0,400
LB3,L,B,3,Sales by Region,Month,Sales ($),0,500,,,0,500
LB4,L,B,4,Customer Retention for Company A,Month,Retention Rate (%),0,100,,,0,100
LB5,L,B,5,Actual vs. Forecast Revenue for Company A,Quarter,Amount ($),0,20000000,,,0,20000000
